THEME,TITLE,ARTIST,YEAR,SPOTIFY_URL
Heartbreak,Some Things Last a Long Time,Daniel Johnston,1990,
Heartbreak,I Guess That’s Why They Call it the Blues,Elton John,1983,http://open.spotify.com/track/4mno8GjYUVPW8rNgJsWLx6
Heartbreak,Tainted Love,Gloria Jones,1964,
Heartbreak,Delilah,Tom Jones,1968,http://open.spotify.com/track/0hK0cOpYF3cLB49VbMa7AV
Heartbreak,Piece of My Heart,Janis Joplin and Big Brother and the Holding Company,1968,http://open.spotify.com/track/3zfJeCCx1uDHzPNReiGqS6
Heartbreak,Love Will Tear Us Apart,Joy Division,1980,http://open.spotify.com/track/2JO3HwMRPeya8bXbtbyPcf
Heartbreak,Caught Out There,Kelis,1999,http://open.spotify.com/track/6UJbhZER5yrbaAG66rrr4Z
Heartbreak,You Don’t Know My Name,Alicia Keys,2003,http://open.spotify.com/track/212BdBPNXcHSPyKtXMiiFF
Heartbreak,Mr Brightside,The Killers,2003,http://open.spotify.com/track/4ZefAE6wZ6BEATniPk4DWI
Heartbreak,The Thrill is Gone,BB King,1969,http://open.spotify.com/track/2l9eWSE3Tupp0ArEDo45eB
Heartbreak,It’s Too Late,Carole King,1971,http://open.spotify.com/track/5bl6wYKQnPmHYO7DbF1mg7
Heartbreak,Lola,The Kinks,1970,http://open.spotify.com/track/191w1gNvwUI55Pk6PcVvMx
Heartbreak,Let Me Down Easy,Bettye LaVette,1965,http://open.spotify.com/track/0MvsfFXD0XkeOcPUOO5XaH
Heartbreak,Jealous Guy,John Lennon,1971,
Heartbreak,Bleeding Love,Leona Lewis,2007,http://open.spotify.com/track/6LtPIXlIzPOTF8vTecYjRe
Heartbreak,Crazy For You,Madonna,1985,http://open.spotify.com/track/6idFcUh2Gc8wdtwuR0sfFN
Heartbreak,Yes,McAlmont and Butler,1995,http://open.spotify.com/track/6joAGL5IuD66Qgcz049ObW
Heartbreak,It’s All in the Game,Van Morrison,1979,http://open.spotify.com/track/4LPR6jSlFTTHavQVaYLfXR
Heartbreak,"The More You Ignore Me, The Closer I Get",Morrissey,1994,http://open.spotify.com/track/2ljH5Nxub9QIJ1WE1hsVU3
Heartbreak,No Children,The Mountain Goats,2003,http://open.spotify.com/track/6KyyTheVmJZsNdqwOj0MR3
Heartbreak,Blue Monday,New Order,1983,http://open.spotify.com/track/6cxLRWPZQ6dmb0lJ5Ph8Tu
Heartbreak,Nothing Compares 2 U,Sinead O’Connor,1990,http://open.spotify.com/track/07iHAswcApphvyllRDQrEa
Heartbreak,To Cry About,Mary Margaret O’Hara,1988,
Heartbreak,Crying,Roy Orbison,1961,http://open.spotify.com/track/3oVeLS6WNWf7tAGev4Y6vM
Heartbreak,Love Hurts,Gram Parsons with Emmylou Harris,1974,http://open.spotify.com/track/51sT9Y2lXJocjVUhA5NFK1
Heartbreak,"$1,000 Wedding",Gram Parsons,1974,http://open.spotify.com/track/53egTlbVDqNH2SRmZTknrC
Heartbreak,Jolene,Dolly Parton,1973,http://open.spotify.com/track/5fdhThPDe6jQQDqCyWrdAn
Heartbreak,It Was Jealousy,Ann Peebles,1976,
Sex,Let’s Talk About Sex,Salt-n-Pepa,1990,
Heartbreak,Ur So Gay,Katy Perry,2007,http://open.spotify.com/track/5monag19nA467DCEUmE7Lq
Heartbreak,Divorce Song,Liz Phair,1993,
Heartbreak,Can’t Stand Losing You,The Police,1978,http://open.spotify.com/track/1VKbWRpwV2XXSJSZ2w534h
Heartbreak,Every Breath You Take,The Police,1983,http://open.spotify.com/track/0A4Btqar6Y5B4hfs9pZnSE
Heartbreak,Always on My Mind,Elvis Presley,1972,http://open.spotify.com/track/7mm18MJI4UpSS2IfsId0qB
Heartbreak,Suspicious Minds,Elvis Presley,1969,http://open.spotify.com/track/21uqk0VElbm5bxCNTR3E6M
Heartbreak,Beware of Young Girls,Dory Previn,1970,http://open.spotify.com/track/6G73YaSHMs0tP2gCNvSnjE
Heartbreak,When Doves Cry,Prince,1984,http://open.spotify.com/track/5OLaGD9QaSn2pRmBr6hYqb
Heartbreak,Jaan Pehechaan Ho,Mohammed Rafi,1965,http://open.spotify.com/track/6o1fs0vkkFGT8lSkMAXe1o
Heartbreak,Sad Song,Lou Reed,1973,
Heartbreak,Everybody Hurts,REM,1992,http://open.spotify.com/track/28AZM08WStiEXfqN065BvN
Heartbreak,The One I Love,REM,1987,http://open.spotify.com/track/3k5BXtsudQFynAlzYIzCgF
Heartbreak,You’ve Lost That Lovin’ Feelin’,The Righteous Brothers,1964,http://open.spotify.com/track/4Y7jrcaXsSFyf5g4YLcAaB
Heartbreak,Stupid Girl,The Rolling Stones,1966,http://open.spotify.com/track/1jlF5p7TTVhT1pvk1jdxZz
Heartbreak,Under My Thumb,The Rolling Stones,1966,http://open.spotify.com/track/4H5hI3u6LmIRlXnWR89opX
Heartbreak,(The Best Part of) Breakin’ Up,The Ronettes,1964,
Heartbreak,What Becomes of the Broken Hearted,Jimmy Ruffin,1966,http://open.spotify.com/track/019nGMMof2yYp0zIdnbxSV
